Occupation - Unit group - National Occupational Classification (NOC) 2021 (821A) 9,Total - Gender,Men+ 10,Women+ 11
"53122 Painters, sculptors and other visual artists","7,890","2,695","5,190"
"53123 Theatre, fashion, exhibit and other creative designers","5,310","1,605","3,705"
53124 Artisans and craftspersons,"7,250","2,300","4,955"
"53125 Patternmakers - textile, leather and fur products",160,60,105
532 Occupations in sports,"8,975","5,870","3,105"
"5320 Athletes, coaches, referees and related occupations","8,975","5,870","3,105"
53200 Athletes,"1,775","1,480",300
53201 Coaches,"5,390","2,935","2,455"
53202 Sports officials and referees,"1,810","1,460",355
54 Support occupations in sport,"46,520","19,610","26,905"
541 Support occupations in sport,"46,520","19,610","26,905"
"5410 Program leaders and instructors in recreation, sport and fitness","46,520","19,610","26,905"
"54100 Program leaders and instructors in recreation, sport and fitness","46,520","19,610","26,905"
55 Support occupations in art and culture,"2,430","1,070","1,360"
551 Support occupations in art and culture,"2,430","1,070","1,360"
5510 Support occupations in art and culture,"2,430","1,070","1,360"
55109 Other performers,"2,430","1,070","1,360"
6 Sales and service occupations,"1,978,335","877,765","1,100,565"
60 Middle management occupations in retail and wholesale trade and customer services,"280,905","158,355","122,550"
600 Middle management occupations in retail and wholesale trade and customer services,"280,905","158,355","122,550"
6001 Corporate sales managers,"37,640","24,055","13,585"
60010 Corporate sales managers,"37,640","24,055","13,585"
6002 Retail and wholesale trade managers,"165,620","96,010","69,610"
60020 Retail and wholesale trade managers,"165,620","96,010","69,610"
6003 Managers in food service and accommodation,"65,205","32,915","32,290"
60030 Restaurant and food service managers,"55,635","28,535","27,095"
60031 Accommodation service managers,"9,575","4,380","5,195"
6004 Managers in customer and personal services,"12,435","5,370","7,060"
60040 Managers in customer and personal services,"12,435","5,370","7,060"
62 Retail sales and service supervisors and specialized occupations in sales and services,"143,720","78,240","65,480"
620 Retail sales and service supervisors,"68,515","29,140","39,380"
6201 Retail sales supervisors,"24,585","9,320","15,260"
62010 Retail sales supervisors,"24,585","9,320","15,260"
6202 Service supervisors,"43,930","19,810","24,120"
62020 Food service supervisors,"25,215","9,735","15,480"
62021 Executive housekeepers,595,120,470
"62022 Accommodation, travel, tourism and related services supervisors","2,455","1,190","1,270"
62023 Customer and information services supervisors,"4,595","1,660","2,935"
62024 Cleaning supervisors,"5,610","3,175","2,435"
62029 Other services supervisors,"5,470","3,930","1,530"
621 Specialized sales occupations,"39,965","23,915","16,055"
6210 Technical sales specialists in wholesale trade and retail and wholesale buyers,"39,965","23,915","16,055"
62100 Technical sales specialists - wholesale trade,"23,645","17,350","6,300"
62101 Retail and wholesale buyers,"16,320","6,565","9,755"
622 Specialized services occupations,"35,240","25,195","10,045"
6220 Specialized occupations in services,"35,240","25,195","10,045"
62200 Chefs,"30,975","22,870","8,105"
62201 Funeral directors and embalmers,"2,435","1,255","1,180"
"62202 Jewellers, jewellery and watch repairers and related occupations","1,830","1,070",760
63 Occupations in sales and services,"279,590","122,620","156,975"
631 Occupations in sales,"128,240","61,670","66,570"
"6310 Insurance, real estate and financial sales occupations","128,240","61,670","66,570"
63100 Insurance agents and brokers,"34,170","15,020","19,145"
63101 Real estate agents and salespersons,"62,770","33,760","29,010"
63102 Financial sales representatives,"31,300","12,885","18,415"
632 Occupations in services,"151,355","60,945","90,405"
"6320 Cooks, butchers and bakers","88,560","49,675","38,885"
63200 Cooks,"64,020","39,675","24,350"
63201 Butchers - retail and wholesale,"2,945","2,545",405
63202 Bakers,"21,595","7,455","14,135"
6321 Hairstylists and estheticians,"60,835","9,835","51,000"
63210 Hairstylists and barbers,"36,395","7,490","28,905"
"63211 Estheticians, electrologists and related occupations","24,440","2,345","22,095"
"6322 Shoe repairers, shoemakers and upholsterers","1,955","1,435",520
