Occupation - Unit group - National Occupational Classification (NOC) 2021 (821A) 9,Total - Gender,Men+ 10,Women+ 11
32209 Other practitioners of natural healing,185,30,155
33 Assisting occupations in support of health services,"22,515","4,155","18,365"
331 Assisting occupations in support of health services,"22,515","4,155","18,365"
3310 Assisting occupations in support of health services,"22,515","4,155","18,365"
33100 Dental assistants and dental laboratory assistants,"1,295",70,"1,225"
33101 Medical laboratory assistants and related technical occupations,745,105,640
"33102 Nurse aides, orderlies and patient service associates","17,730","3,350","14,380"
33103 Pharmacy technical assistants and pharmacy assistants,"1,050",220,830
33109 Other assisting occupations in support of health services,"1,685",405,"1,280"
"4 Occupations in education, law and social, community and government services","100,315","33,095","67,220"
"40 Managers in public administration, in education and social and community services and in public protection services","5,585","2,495","3,085"
"400 Managers in public administration, in education and social and community services and in public protection services","5,585","2,495","3,085"
4001 Managers in public administration,820,405,415
40010 Government managers - health and social policy development and program administration,240,105,125
"40011 Government managers - economic analysis, policy development and program administration",385,200,190
40012 Government managers - education policy development and program administration,50,15,40
40019 Other managers in public administration,150,85,65
4002 Managers in education,"2,025",840,"1,180"
40020 Administrators - post-secondary education and vocational training,575,240,335
40021 School principals and administrators of elementary and secondary education,"1,450",600,845
"4003 Managers in social, community and correctional services","1,645",350,"1,295"
"40030 Managers in social, community and correctional services","1,645",350,"1,295"
4004 Managers in public protection services,"1,095",900,195
40040 Commissioned police officers and related occupations in public protection services,45,40,0
40041 Fire chiefs and senior firefighting officers,110,105,10
40042 Commissioned officers of the Canadian Armed Forces,940,755,185
"41 Professional occupations in law, education, social, community and government services","45,450","16,080","29,370"
411 Professional occupations in law,"2,570","1,500","1,070"
"4110 Judges, lawyers and Quebec notaries","2,570","1,500","1,070"
41100 Judges,135,60,70
41101 Lawyers and Quebec notaries,"2,440","1,440","1,000"
412 Professional occupations in education services,"28,935","9,720","19,215"
4120 University professors and post-secondary assistants,"6,200","2,765","3,435"
41200 University professors and lecturers,"2,620","1,330","1,295"
41201 Post-secondary teaching and research assistants,"3,575","1,435","2,140"
4121 College and other vocational instructors,"2,740","1,265","1,470"
41210 College and other vocational instructors,"2,740","1,265","1,470"
"4122 Secondary, elementary and kindergarten school teachers","19,995","5,685","14,305"
41220 Secondary school teachers,"6,205","2,935","3,275"
41221 Elementary school and kindergarten teachers,"13,795","2,755","11,040"
413 Professional occupations in social and community services,"7,880","2,500","5,380"
4130 Social and community service professionals,"5,735","1,855","3,885"
41300 Social workers,"3,255",520,"2,735"
41301 Therapists in counselling and related specialized therapies,"1,015",205,810
41302 Religious leaders,"1,465","1,125",335
4131 Police investigators and probation officers,435,215,215
41310 Police investigators and other investigative occupations,145,125,15
41311 Probation and parole officers,290,90,200
4132 Educational and employment counsellors,"1,705",430,"1,275"
41320 Educational counsellors,"1,200",290,915
41321 Career development practitioners and career counsellors (except education),505,140,365
414 Professional occupations in government services,"6,070","2,360","3,705"
"4140 Policy and program researchers, consultants and officers","6,070","2,360","3,705"
"41400 Natural and applied science policy researchers, consultants and program officers",790,410,380
41401 Economists and economic policy researchers and analysts,380,235,145
41402 Business development officers and market researchers and analysts,"1,170",685,485
"41403 Social policy researchers, consultants and program officers","1,390",430,960
"41404 Health policy researchers, consultants and program officers",795,195,595
"41405 Education policy researchers, consultants and program officers",740,140,610
"41406 Recreation, sports and fitness policy researchers, consultants and program officers",370,110,265
41407 Program officers unique to government,270,90,175
41409 Other professional occupations in social science,165,70,90
"42 Front-line public protection services and paraprofessional occupations in legal, social, community, education services","24,525","7,400","17,120"
421 Occupations in front-line public protection services,"4,040","3,465",575
4210 Occupations in front-line public protection services,"4,040","3,465",575
42100 Police officers (except commissioned),"2,805","2,305",495
42101 Firefighters,"1,205","1,125",80
42102 Specialized members of the Canadian Armed Forces,30,30,0
"422 Paraprofessional occupations in legal, social, community and education services","20,485","3,940","16,550"
"4220 Paraprofessional occupations in legal, social, community and education services","20,485","3,940","16,550"
42200 Paralegals and related occupations,530,60,470
42201 Social and community service workers,"10,185","3,040","7,155"
42202 Early childhood educators and assistants,"9,045",585,"8,460"
42203 Instructors of persons with disabilities,230,55,175
42204 Religion workers,490,205,285
43 Assisting occupations in education and in legal and public protection,"16,530","5,570","10,960"
431 Assisting occupations in educational,"11,940","2,120","9,815"
4310 Assisting occupations in education,"11,940","2,120","9,815"
43100 Elementary and secondary school teacher assistants,"10,915","1,645","9,270"
43109 Other instructors,"1,020",480,545
432 Assisting occupations in legal and public protection,"4,590","3,450","1,145"
4320 Assisting occupations in legal and public protection,"4,590","3,450","1,145"
43200 Sheriffs and bailiffs,185,125,60
