Occupation - Unit group - National Occupational Classification (NOC) 2021 (821A) 9,Total - Gender,Men+ 10,Women+ 11
414 Professional occupations in government services,"50,870","20,735","30,135"
"4140 Policy and program researchers, consultants and officers","50,870","20,735","30,135"
"41400 Natural and applied science policy researchers, consultants and program officers","8,405","4,250","4,155"
41401 Economists and economic policy researchers and analysts,"4,375","2,345","2,025"
41402 Business development officers and market researchers and analysts,"7,780","3,730","4,050"
"41403 Social policy researchers, consultants and program officers","10,405","3,880","6,525"
"41404 Health policy researchers, consultants and program officers","4,505","1,210","3,300"
"41405 Education policy researchers, consultants and program officers","7,190","1,875","5,310"
"41406 Recreation, sports and fitness policy researchers, consultants and program officers","2,485","1,050","1,440"
41407 Program officers unique to government,"4,255","1,980","2,275"
41409 Other professional occupations in social science,"1,475",425,"1,050"
"42 Front-line public protection services and paraprofessional occupations in legal, social, community, education services","192,780","36,555","156,230"
421 Occupations in front-line public protection services,"23,890","18,845","5,045"
4210 Occupations in front-line public protection services,"23,890","18,845","5,045"
42100 Police officers (except commissioned),"16,805","12,105","4,700"
42101 Firefighters,"6,795","6,485",310
42102 Specialized members of the Canadian Armed Forces,300,260,35
"422 Paraprofessional occupations in legal, social, community and education services","168,895","17,710","151,185"
"4220 Paraprofessional occupations in legal, social, community and education services","168,895","17,710","151,185"
42200 Paralegals and related occupations,"5,825",940,"4,885"
42201 Social and community service workers,"35,280","8,515","26,765"
42202 Early childhood educators and assistants,"98,400","3,935","94,465"
42203 Instructors of persons with disabilities,"27,010","3,330","23,685"
42204 Religion workers,"2,375",995,"1,385"
43 Assisting occupations in education and in legal and public protection,"31,715","16,005","15,715"
431 Assisting occupations in educational,"14,645","3,850","10,795"
4310 Assisting occupations in education,"14,645","3,850","10,795"
43100 Elementary and secondary school teacher assistants,"7,945",875,"7,075"
43109 Other instructors,"6,700","2,975","3,715"
432 Assisting occupations in legal and public protection,"17,075","12,155","4,920"
4320 Assisting occupations in legal and public protection,"17,075","12,155","4,920"
43200 Sheriffs and bailiffs,835,575,260
43201 Correctional service officers,"4,880","3,050","1,830"
43202 By-law enforcement and other regulatory officers,"2,240","1,485",755
"43203 Border services, customs, and immigration officers","2,285","1,190","1,100"
43204 Operations members of the Canadian Armed Forces,"6,820","5,855",970
44 Care providers and legal and public protection support occupations,"24,610","4,615","19,995"
441 Home care provider occupations,"21,850","2,115","19,735"
4410 Home care provider occupations,"21,850","2,115","19,735"
44100 Home child care providers,"7,830",585,"7,245"
"44101 Home support workers, caregivers and related occupations","14,015","1,530","12,485"
442 Primary combat members of the Canadian Armed Forces,"2,760","2,500",260
4420 Primary combat members of the Canadian Armed Forces,"2,760","2,500",260
44200 Primary combat members of the Canadian Armed Forces,"2,760","2,500",260
"45 Student monitors, crossing guards and related occupations","12,965","2,690","10,275"
"451 Student monitors, crossing guards and related occupations","12,965","2,690","10,275"
"4510 Student monitors, crossing guards and related occupations","12,965","2,690","10,275"
"45100 Student monitors, crossing guards and related occupations","12,965","2,690","10,275"
"5 Occupations in art, culture, recreation and sport","173,015","85,080","87,935"
"50 Specialized middle management occupations in art, culture, recreation and sport","5,090","2,515","2,580"
"500 Specialized middle management occupations in art, culture, recreation and sport","5,090","2,515","2,580"
"5001 Managers in art, culture, recreation and sport","5,090","2,515","2,580"
"50010 Library, archive, museum and art gallery managers","1,040",315,730
"50011 Managers - publishing, motion pictures, broadcasting and performing arts","1,675",790,880
"50012 Recreation, sports and fitness program and service directors","2,380","1,410",970
51 Professional occupations in art and culture,"46,620","21,750","24,870"
511 Professional occupations in art and culture,"46,620","21,750","24,870"
"5110 Librarians, archivists, conservators and curators","2,870",870,"2,005"
51100 Librarians,"1,735",460,"1,275"
51101 Conservators and curators,385,155,230
51102 Archivists,750,250,500
"5111 Writing, translating and related communications professionals","24,540","8,955","15,585"
51110 Editors,"4,200","1,345","2,855"
51111 Authors and writers (except technical),"5,525","2,370","3,155"
51112 Technical writers,"1,640",705,940
51113 Journalists,"3,550","1,800","1,745"
"51114 Translators, terminologists and interpreters","9,620","2,735","6,885"
5112 Creative and performing artists,"19,210","11,930","7,280"
"51120 Producers, directors, choreographers and related occupations","10,775","6,975","3,795"
"51121 Conductors, composers and arrangers","1,010",770,240
51122 Musicians and singers,"7,425","4,180","3,245"
"52 Technical occupations in art, culture and sport","60,060","32,945","27,115"
521 Technical occupations in art and culture,"60,060","32,945","27,115"
5210 Technical occupations in libraries and public archives,"2,750",485,"2,270"
52100 Library and public archive technicians,"2,750",485,"2,270"
"5211 Technical occupations in motion pictures, broadcasting and the performing arts","29,725","21,230","8,495"
52110 Film and video camera operators,"1,115","1,020",95
52111 Graphic arts technicians,"6,500","4,115","2,380"
52112 Broadcast technicians,180,145,40
52113 Audio and video recording technicians,"15,360","12,270","3,090"
52114 Announcers and other broadcasters,"1,295",720,570
"52119 Other technical and coordinating occupations in motion pictures, broadcasting and the performing arts","5,270","2,965","2,310"
5212 Graphic and interior designers,"27,585","11,230","16,355"
52120 Graphic designers and illustrators,"20,440","10,020","10,420"
52121 Interior designers and interior decorators,"7,150","1,205","5,940"
"53 Occupations in art, culture and sport","33,420","16,120","17,305"
531 Occupations in art and culture,"26,760","11,895","14,865"
5310 Occupations related to museums and art galleries,"1,665",735,935
"53100 Registrars, restorers, interpreters and other occupations related to museum and art galleries","1,665",735,935
5311 Photographers and support occupations in arts and culture,"5,540","2,980","2,560"
53110 Photographers,"3,605","1,865","1,735"
"53111 Motion pictures, broadcasting, photography and performing arts assistants and operators","1,935","1,110",820
5312 Occupations in creative and performing art,"19,550","8,180","11,365"
53120 Dancers,"1,990",355,"1,635"
"53121 Actors, comedians and circus performers","3,915","1,955","1,965"
"53122 Painters, sculptors and other visual artists","4,980","1,970","3,005"
"53123 Theatre, fashion, exhibit and other creative designers","5,285","2,480","2,805"
53124 Artisans and craftspersons,"3,005","1,320","1,685"
"53125 Patternmakers - textile, leather and fur products",375,105,270
532 Occupations in sports,"6,665","4,225","2,440"
"5320 Athletes, coaches, referees and related occupations","6,665","4,225","2,440"
53200 Athletes,760,630,130
53201 Coaches,"4,625","2,565","2,060"
53202 Sports officials and referees,"1,285","1,035",255
54 Support occupations in sport,"26,910","11,260","15,645"
541 Support occupations in sport,"26,910","11,260","15,645"
"5410 Program leaders and instructors in recreation, sport and fitness","26,910","11,260","15,645"
"54100 Program leaders and instructors in recreation, sport and fitness","26,910","11,260","15,645"
55 Support occupations in art and culture,905,485,420
551 Support occupations in art and culture,905,485,420
5510 Support occupations in art and culture,905,485,420
55109 Other performers,905,485,420
6 Sales and service occupations,"1,207,455","563,310","644,140"
60 Middle management occupations in retail and wholesale trade and customer services,"147,150","85,535","61,615"
600 Middle management occupations in retail and wholesale trade and customer services,"147,150","85,535","61,615"
6001 Corporate sales managers,"17,140","12,250","4,890"
60010 Corporate sales managers,"17,140","12,250","4,890"
6002 Retail and wholesale trade managers,"78,175","44,155","34,020"
60020 Retail and wholesale trade managers,"78,175","44,155","34,020"
6003 Managers in food service and accommodation,"48,605","27,715","20,890"
60030 Restaurant and food service managers,"43,600","25,540","18,060"
60031 Accommodation service managers,"5,010","2,180","2,830"
6004 Managers in customer and personal services,"3,230","1,415","1,810"
60040 Managers in customer and personal services,"3,230","1,415","1,810"
