Occupation - Unit group - National Occupational Classification (NOC) 2021 (821A) 9,Total - Gender,Men+ 10,Women+ 11
41200 University professors and lecturers,"1,170",675,495
41201 Post-secondary teaching and research assistants,"1,420",585,835
4121 College and other vocational instructors,"1,250",605,655
41210 College and other vocational instructors,"1,250",605,655
"4122 Secondary, elementary and kindergarten school teachers","6,715","1,565","5,155"
41220 Secondary school teachers,"2,070",900,"1,170"
41221 Elementary school and kindergarten teachers,"4,640",665,"3,980"
413 Professional occupations in social and community services,"2,865",765,"2,095"
4130 Social and community service professionals,"2,190",610,"1,585"
41300 Social workers,"1,300",170,"1,130"
41301 Therapists in counselling and related specialized therapies,365,65,305
41302 Religious leaders,530,380,150
4131 Police investigators and probation officers,70,25,45
41310 Police investigators and other investigative occupations,10,0,10
41311 Probation and parole officers,55,20,40
4132 Educational and employment counsellors,600,140,470
41320 Educational counsellors,425,100,325
41321 Career development practitioners and career counsellors (except education),180,40,140
414 Professional occupations in government services,"2,570","1,000","1,570"
"4140 Policy and program researchers, consultants and officers","2,570","1,000","1,570"
"41400 Natural and applied science policy researchers, consultants and program officers",405,210,195
41401 Economists and economic policy researchers and analysts,140,80,60
41402 Business development officers and market researchers and analysts,450,265,185
"41403 Social policy researchers, consultants and program officers",440,135,310
"41404 Health policy researchers, consultants and program officers",295,45,250
"41405 Education policy researchers, consultants and program officers",345,100,245
"41406 Recreation, sports and fitness policy researchers, consultants and program officers",125,35,90
41407 Program officers unique to government,295,90,205
41409 Other professional occupations in social science,80,40,35
"42 Front-line public protection services and paraprofessional occupations in legal, social, community, education services","6,340","1,785","4,555"
421 Occupations in front-line public protection services,"1,330","1,070",260
4210 Occupations in front-line public protection services,"1,330","1,070",260
42100 Police officers (except commissioned),935,695,240
42101 Firefighters,385,360,20
42102 Specialized members of the Canadian Armed Forces,15,15,0
"422 Paraprofessional occupations in legal, social, community and education services","5,010",710,"4,295"
"4220 Paraprofessional occupations in legal, social, community and education services","5,010",710,"4,295"
42200 Paralegals and related occupations,165,20,140
42201 Social and community service workers,"2,565",600,"1,965"
42202 Early childhood educators and assistants,"2,100",65,"2,035"
42203 Instructors of persons with disabilities,140,10,130
42204 Religion workers,40,15,20
43 Assisting occupations in education and in legal and public protection,"2,910","1,230","1,680"
431 Assisting occupations in educational,"1,710",245,"1,465"
4310 Assisting occupations in education,"1,710",245,"1,465"
43100 Elementary and secondary school teacher assistants,"1,280",70,"1,205"
43109 Other instructors,430,170,260
432 Assisting occupations in legal and public protection,"1,200",985,215
4320 Assisting occupations in legal and public protection,"1,200",985,215
43200 Sheriffs and bailiffs,85,75,15
43201 Correctional service officers,395,295,100
43202 By-law enforcement and other regulatory officers,100,80,30
"43203 Border services, customs, and immigration officers",85,55,35
43204 Operations members of the Canadian Armed Forces,530,490,40
44 Care providers and legal and public protection support occupations,"9,525",920,"8,600"
441 Home care provider occupations,"9,295",730,"8,565"
4410 Home care provider occupations,"9,295",730,"8,565"
44100 Home child care providers,870,30,835
"44101 Home support workers, caregivers and related occupations","8,425",700,"7,725"
442 Primary combat members of the Canadian Armed Forces,225,190,40
4420 Primary combat members of the Canadian Armed Forces,225,190,40
44200 Primary combat members of the Canadian Armed Forces,225,190,40
"45 Student monitors, crossing guards and related occupations",40,0,30
"451 Student monitors, crossing guards and related occupations",40,0,30
"4510 Student monitors, crossing guards and related occupations",40,0,30
"45100 Student monitors, crossing guards and related occupations",40,0,30
"5 Occupations in art, culture, recreation and sport","5,945","2,620","3,320"
"50 Specialized middle management occupations in art, culture, recreation and sport",375,125,250
"500 Specialized middle management occupations in art, culture, recreation and sport",375,125,250
"5001 Managers in art, culture, recreation and sport",375,125,250
"50010 Library, archive, museum and art gallery managers",80,10,65
"50011 Managers - publishing, motion pictures, broadcasting and performing arts",50,30,20
"50012 Recreation, sports and fitness program and service directors",250,85,170
51 Professional occupations in art and culture,"1,440",625,815
511 Professional occupations in art and culture,"1,440",625,815
"5110 Librarians, archivists, conservators and curators",170,35,140
51100 Librarians,150,20,130
51101 Conservators and curators,10,0,10
51102 Archivists,10,0,10
"5111 Writing, translating and related communications professionals",545,235,310
51110 Editors,110,40,70
51111 Authors and writers (except technical),240,110,125
51112 Technical writers,45,0,35
51113 Journalists,120,80,40
"51114 Translators, terminologists and interpreters",35,0,40
5112 Creative and performing artists,725,360,365
"51120 Producers, directors, choreographers and related occupations",240,145,105
"51121 Conductors, composers and arrangers",20,0,10
51122 Musicians and singers,455,205,250
"52 Technical occupations in art, culture and sport","1,070",500,570
521 Technical occupations in art and culture,"1,070",500,570
5210 Technical occupations in libraries and public archives,145,20,120
52100 Library and public archive technicians,145,20,120
"5211 Technical occupations in motion pictures, broadcasting and the performing arts",420,265,155
52110 Film and video camera operators,35,25,0
52111 Graphic arts technicians,20,10,10
52112 Broadcast technicians,35,30,0
52113 Audio and video recording technicians,90,90,0
52114 Announcers and other broadcasters,80,40,35
"52119 Other technical and coordinating occupations in motion pictures, broadcasting and the performing arts",165,60,105
5212 Graphic and interior designers,505,215,290
52120 Graphic designers and illustrators,385,210,170
52121 Interior designers and interior decorators,125,10,115
"53 Occupations in art, culture and sport","1,615",730,885
