Occupation - Unit group - National Occupational Classification (NOC) 2021 (821A) 9,Total - Gender,Men+ 10,Women+ 11
"652 Support occupations in food, accommodation and tourism",490,210,280
6520 Food support occupations,420,175,245
65200 Food and beverage servers,80,15,65
"65201 Food counter attendants, kitchen helpers and related support occupations",335,155,180
65202 Meat cutters and fishmongers - retail and wholesale,10,10,0
"6521 Support occupations in accommodation, travel, tourism and amusement services",45,20,20
"65210 Support occupations in accommodation, travel and facilities set-up services",0,0,0
"65211 Operators and attendants in amusement, recreation and sport",45,15,20
6522 Support occupations in personal services,30,15,15
65220 Pet groomers and animal care workers,30,15,15
65229 Other support occupations in personal services,0,0,0
653 Support occupations in cleaning and related services,895,310,585
6531 Cleaners,835,300,535
65310 Light duty cleaners,400,85,320
65311 Specialized cleaners,25,25,0
"65312 Janitors, caretakers and heavy-duty cleaners",405,185,220
6532 Service support and related occupations,60,10,50
"65320 Dry cleaning, laundry and related occupations",25,0,15
65329 Other service support occupations,35,10,35
"7 Trades, transport and equipment operators and related occupations","4,580","4,235",350
70 Middle management occupations in trades and transportation,300,250,55
700 Middle management occupations in trades and transportation,300,250,55
7001 Managers in construction and facility operation and maintenance,205,190,20
70010 Construction managers,80,80,0
70011 Home building and renovation managers,20,20,0
70012 Facility operation and maintenance managers,105,85,15
7002 Managers in transportation and postal and courier services,95,60,35
70020 Managers in transportation,90,60,30
70021 Postal and courier services managers,10,0,10
72 Technical trades and transportation officers and controllers,"1,665","1,600",65
720 Technical trades contractors and supervisors,170,165,10
"7201 Contractors and supervisors, technical industrial, electrical and construction trades and related workers",85,85,0
"72010 Contractors and supervisors, machining, metal forming, shaping and erecting trades and related occupations",10,10,0
"72011 Contractors and supervisors, electrical trades and telecommunications occupations",10,10,0
"72012 Contractors and supervisors, pipefitting trades",10,10,0
"72013 Contractors and supervisors, carpentry trades",30,30,0
"72014 Contractors and supervisors, other construction trades, installers, repairers and servicers",25,25,0
"7202 Contractors and supervisors, technical maintenance trades and heavy equipment and transport operators",85,80,0
"72020 Contractors and supervisors, mechanic trades",15,15,0
"72021 Contractors and supervisors, heavy equipment operator crews",55,55,0
"72022 Supervisors, printing and related occupations",0,0,0
"72023 Supervisors, railway transport operations",0,0,0
"72024 Supervisors, motor transport and other ground transit operators",0,0,0
"72025 Supervisors, mail and message distribution occupations",10,0,0
721 Technical industrial trades,75,75,0
"7210 Machining, metal forming, shaping and erecting trades",75,75,0
72100 Machinists and machining and tooling inspectors,0,0,0
72101 Tool and die makers,0,0,0
72102 Sheet metal workers,0,0,0
72103 Boilermakers,0,0,0
72104 Structural metal and platework fabricators and fitters,0,0,0
72105 Ironworkers,0,0,0
72106 Welders and related machine operators,65,65,0
722 Technical electrical trades,210,205,0
7220 Technical electrical trades and electrical power line and telecommunications workers,210,205,0
72200 Electricians (except industrial and power system),95,95,0
72201 Industrial electricians,20,20,0
72202 Power system electricians,20,20,0
72203 Electrical power line and cable workers,30,30,0
72204 Telecommunications line and cable installers and repairers,10,10,0
72205 Telecommunications equipment installation and cable television service technicians,35,25,0
723 Technical construction trades,440,420,15
"7230 Plumbers, pipefitters and gas fitters",145,145,10
72300 Plumbers,120,115,10
"72301 Steamfitters, pipefitters and sprinkler system installers",20,20,0
72302 Gas fitters,0,0,0
7231 Carpenters and cabinetmakers,290,280,10
72310 Carpenters,280,275,0
72311 Cabinetmakers,10,0,10
7232 Bricklayers and insulators,0,0,0
72320 Bricklayers,0,0,0
72321 Insulators,0,0,0
724 Technical maintenance trades,480,460,20
7240 Machinery and transportation equipment mechanics (except motor vehicles),255,240,15
72400 Construction millwrights and industrial mechanics,50,40,0
72401 Heavy-duty equipment mechanics,100,100,0
"72402 Heating, refrigeration and air conditioning mechanics",10,10,0
72403 Railway carmen/women,0,0,0
72404 Aircraft mechanics and aircraft inspectors,100,90,0
72405 Machine fitters,0,0,0
72406 Elevator constructors and mechanics,0,0,0
7241 Automotive service technicians,195,195,0
"72410 Automotive service technicians, truck and bus mechanics and mechanical repairers",185,185,0
"72411 Auto body collision, refinishing and glass technicians and damage repair estimators",10,10,0
7242 Small engine and equipment mechanics and related repairers (including electrical components),30,30,0
72420 Oil and solid fuel heating mechanics,10,10,0
72421 Appliance servicers and repairers,0,0,0
72422 Electrical mechanics,0,0,0
"72423 Motorcycle, all-terrain vehicle and other related mechanics",10,10,0
72429 Other small engine and small equipment repairers,10,10,0
725 Technical equipment operation trades,0,0,0
7250 Crane operators and water well drillers,0,0,0
72500 Crane operators,0,0,0
72501 Water well drillers,0,0,0
726 Transportation officers and controllers,285,275,15
7260 Transportation officers and controllers,285,275,15
"72600 Air pilots, flight engineers and flying instructors",220,215,10
72601 Air traffic controllers and related occupations,50,40,10
"72602 Deck officers, water transport",15,15,0
"72603 Engineer officers, water transport",0,0,0
72604 Railway traffic controllers and marine traffic regulators,0,0,0
729 Other technical trades,0,0,10
7299 Other technical trades,0,0,10
72999 Other technical trades and related occupations,0,0,10
73 General trades,"1,500","1,385",115
731 General construction trades,95,90,10
"7310 Concrete finishers, tilesetters and plasterers",0,0,0
73100 Concrete finishers,0,0,0
73101 Tilesetters,0,0,0
