Occupation - Unit group - National Occupational Classification (NOC) 2021 (821A) 9,Total - Gender,Men+ 10,Women+ 11
"44101 Home support workers, caregivers and related occupations",360,35,330
442 Primary combat members of the Canadian Armed Forces,40,40,0
4420 Primary combat members of the Canadian Armed Forces,40,40,0
44200 Primary combat members of the Canadian Armed Forces,40,40,0
"45 Student monitors, crossing guards and related occupations",25,20,0
"451 Student monitors, crossing guards and related occupations",25,20,0
"4510 Student monitors, crossing guards and related occupations",25,20,0
"45100 Student monitors, crossing guards and related occupations",25,20,0
"5 Occupations in art, culture, recreation and sport","2,270","1,040","1,225"
"50 Specialized middle management occupations in art, culture, recreation and sport",115,35,80
"500 Specialized middle management occupations in art, culture, recreation and sport",115,35,80
"5001 Managers in art, culture, recreation and sport",115,35,80
"50010 Library, archive, museum and art gallery managers",35,0,35
"50011 Managers - publishing, motion pictures, broadcasting and performing arts",20,15,10
"50012 Recreation, sports and fitness program and service directors",60,25,40
51 Professional occupations in art and culture,580,280,300
511 Professional occupations in art and culture,580,280,300
"5110 Librarians, archivists, conservators and curators",60,10,50
51100 Librarians,45,10,35
51101 Conservators and curators,10,0,10
51102 Archivists,10,0,10
"5111 Writing, translating and related communications professionals",295,135,160
51110 Editors,50,30,20
51111 Authors and writers (except technical),110,40,65
51112 Technical writers,25,10,15
51113 Journalists,80,50,35
"51114 Translators, terminologists and interpreters",30,0,25
5112 Creative and performing artists,225,135,90
"51120 Producers, directors, choreographers and related occupations",65,50,20
"51121 Conductors, composers and arrangers",30,15,15
51122 Musicians and singers,130,70,60
"52 Technical occupations in art, culture and sport",540,275,265
521 Technical occupations in art and culture,540,275,265
5210 Technical occupations in libraries and public archives,55,0,45
52100 Library and public archive technicians,55,0,45
"5211 Technical occupations in motion pictures, broadcasting and the performing arts",220,130,90
52110 Film and video camera operators,20,20,0
52111 Graphic arts technicians,40,25,15
52112 Broadcast technicians,0,0,0
52113 Audio and video recording technicians,60,55,0
52114 Announcers and other broadcasters,25,15,15
"52119 Other technical and coordinating occupations in motion pictures, broadcasting and the performing arts",75,20,55
5212 Graphic and interior designers,265,135,130
52120 Graphic designers and illustrators,230,130,105
52121 Interior designers and interior decorators,35,10,25
"53 Occupations in art, culture and sport",565,235,325
531 Occupations in art and culture,405,135,270
5310 Occupations related to museums and art galleries,60,30,30
"53100 Registrars, restorers, interpreters and other occupations related to museum and art galleries",60,30,30
5311 Photographers and support occupations in arts and culture,80,35,45
53110 Photographers,55,25,30
"53111 Motion pictures, broadcasting, photography and performing arts assistants and operators",25,0,15
5312 Occupations in creative and performing art,265,70,195
53120 Dancers,40,0,40
"53121 Actors, comedians and circus performers",20,10,10
"53122 Painters, sculptors and other visual artists",65,20,45
"53123 Theatre, fashion, exhibit and other creative designers",10,10,0
53124 Artisans and craftspersons,130,35,95
"53125 Patternmakers - textile, leather and fur products",0,0,0
532 Occupations in sports,155,100,55
"5320 Athletes, coaches, referees and related occupations",155,100,55
53200 Athletes,10,10,0
53201 Coaches,95,55,40
53202 Sports officials and referees,50,35,15
54 Support occupations in sport,475,220,260
541 Support occupations in sport,475,220,260
"5410 Program leaders and instructors in recreation, sport and fitness",475,220,260
"54100 Program leaders and instructors in recreation, sport and fitness",475,220,260
55 Support occupations in art and culture,0,0,0
551 Support occupations in art and culture,0,0,0
5510 Support occupations in art and culture,0,0,0
55109 Other performers,0,0,0
6 Sales and service occupations,"22,405","9,080","13,325"
60 Middle management occupations in retail and wholesale trade and customer services,"3,170","1,730","1,440"
600 Middle management occupations in retail and wholesale trade and customer services,"3,170","1,730","1,440"
6001 Corporate sales managers,100,65,30
60010 Corporate sales managers,100,65,30
6002 Retail and wholesale trade managers,"1,945","1,145",805
60020 Retail and wholesale trade managers,"1,945","1,145",805
6003 Managers in food service and accommodation,"1,000",455,540
60030 Restaurant and food service managers,700,325,370
60031 Accommodation service managers,305,130,165
6004 Managers in customer and personal services,125,65,60
60040 Managers in customer and personal services,125,65,60
62 Retail sales and service supervisors and specialized occupations in sales and services,"1,575",780,795
620 Retail sales and service supervisors,935,345,595
6201 Retail sales supervisors,300,105,200
62010 Retail sales supervisors,300,105,200
6202 Service supervisors,635,240,395
62020 Food service supervisors,395,135,260
62021 Executive housekeepers,25,0,25
"62022 Accommodation, travel, tourism and related services supervisors",30,15,15
62023 Customer and information services supervisors,80,45,40
62024 Cleaning supervisors,65,25,40
62029 Other services supervisors,30,20,10
621 Specialized sales occupations,235,200,35
6210 Technical sales specialists in wholesale trade and retail and wholesale buyers,235,200,35
62100 Technical sales specialists - wholesale trade,85,75,10
62101 Retail and wholesale buyers,150,125,25
622 Specialized services occupations,400,235,165
6220 Specialized occupations in services,400,235,165
62200 Chefs,360,210,150
62201 Funeral directors and embalmers,30,30,0
"62202 Jewellers, jewellery and watch repairers and related occupations",10,0,10
63 Occupations in sales and services,"2,715","1,025","1,690"
631 Occupations in sales,640,310,330
