Occupation - Unit group - National Occupational Classification (NOC) 2021 (821A) 9,Total - Gender,Men+ 10,Women+ 11
42200 Paralegals and related occupations,300,35,265
42201 Social and community service workers,"3,780","1,050","2,725"
42202 Early childhood educators and assistants,"5,135",225,"4,910"
42203 Instructors of persons with disabilities,500,55,445
42204 Religion workers,165,50,115
43 Assisting occupations in education and in legal and public protection,"9,400","4,220","5,185"
431 Assisting occupations in educational,"4,975",475,"4,500"
4310 Assisting occupations in education,"4,975",475,"4,500"
43100 Elementary and secondary school teacher assistants,"4,485",270,"4,215"
43109 Other instructors,490,205,280
432 Assisting occupations in legal and public protection,"4,425","3,745",685
4320 Assisting occupations in legal and public protection,"4,425","3,745",685
43200 Sheriffs and bailiffs,190,165,25
43201 Correctional service officers,"1,065",835,225
43202 By-law enforcement and other regulatory officers,180,110,70
"43203 Border services, customs, and immigration officers",375,235,145
43204 Operations members of the Canadian Armed Forces,"2,610","2,395",215
44 Care providers and legal and public protection support occupations,"5,245","1,195","4,045"
441 Home care provider occupations,"4,260",305,"3,960"
4410 Home care provider occupations,"4,260",305,"3,960"
44100 Home child care providers,"1,295",70,"1,225"
"44101 Home support workers, caregivers and related occupations","2,960",235,"2,730"
442 Primary combat members of the Canadian Armed Forces,985,890,90
4420 Primary combat members of the Canadian Armed Forces,985,890,90
44200 Primary combat members of the Canadian Armed Forces,985,890,90
"45 Student monitors, crossing guards and related occupations",235,90,145
"451 Student monitors, crossing guards and related occupations",235,90,145
"4510 Student monitors, crossing guards and related occupations",235,90,145
"45100 Student monitors, crossing guards and related occupations",235,90,145
"5 Occupations in art, culture, recreation and sport","9,150","4,145","5,010"
"50 Specialized middle management occupations in art, culture, recreation and sport",535,235,295
"500 Specialized middle management occupations in art, culture, recreation and sport",535,235,295
"5001 Managers in art, culture, recreation and sport",535,235,295
"50010 Library, archive, museum and art gallery managers",165,40,125
"50011 Managers - publishing, motion pictures, broadcasting and performing arts",75,40,35
"50012 Recreation, sports and fitness program and service directors",290,155,135
51 Professional occupations in art and culture,"2,350","1,110","1,240"
511 Professional occupations in art and culture,"2,350","1,110","1,240"
"5110 Librarians, archivists, conservators and curators",240,85,155
51100 Librarians,155,50,105
51101 Conservators and curators,40,20,20
51102 Archivists,50,15,30
"5111 Writing, translating and related communications professionals","1,235",535,705
51110 Editors,155,70,85
51111 Authors and writers (except technical),360,155,205
51112 Technical writers,165,75,90
51113 Journalists,265,155,110
"51114 Translators, terminologists and interpreters",300,85,215
5112 Creative and performing artists,875,495,380
"51120 Producers, directors, choreographers and related occupations",280,200,80
"51121 Conductors, composers and arrangers",85,45,40
51122 Musicians and singers,520,255,265
"52 Technical occupations in art, culture and sport","2,215","1,150","1,070"
521 Technical occupations in art and culture,"2,215","1,150","1,070"
5210 Technical occupations in libraries and public archives,195,35,160
52100 Library and public archive technicians,195,35,160
"5211 Technical occupations in motion pictures, broadcasting and the performing arts",890,650,240
52110 Film and video camera operators,90,90,0
52111 Graphic arts technicians,120,80,40
52112 Broadcast technicians,35,35,0
52113 Audio and video recording technicians,275,245,30
52114 Announcers and other broadcasters,125,105,25
"52119 Other technical and coordinating occupations in motion pictures, broadcasting and the performing arts",240,90,155
5212 Graphic and interior designers,"1,125",460,665
52120 Graphic designers and illustrators,885,425,460
52121 Interior designers and interior decorators,240,35,205
"53 Occupations in art, culture and sport","2,190",885,"1,305"
531 Occupations in art and culture,"1,820",665,"1,160"
5310 Occupations related to museums and art galleries,320,135,185
"53100 Registrars, restorers, interpreters and other occupations related to museum and art galleries",320,135,185
5311 Photographers and support occupations in arts and culture,300,140,155
53110 Photographers,265,120,140
"53111 Motion pictures, broadcasting, photography and performing arts assistants and operators",40,25,20
5312 Occupations in creative and performing art,"1,200",385,815
53120 Dancers,180,0,180
"53121 Actors, comedians and circus performers",130,80,45
"53122 Painters, sculptors and other visual artists",285,105,180
"53123 Theatre, fashion, exhibit and other creative designers",75,35,40
53124 Artisans and craftspersons,530,160,365
"53125 Patternmakers - textile, leather and fur products",0,0,0
532 Occupations in sports,365,220,150
"5320 Athletes, coaches, referees and related occupations",365,220,150
53200 Athletes,60,60,0
53201 Coaches,210,85,130
53202 Sports officials and referees,95,75,20
54 Support occupations in sport,"1,795",745,"1,050"
541 Support occupations in sport,"1,795",745,"1,050"
"5410 Program leaders and instructors in recreation, sport and fitness","1,795",745,"1,050"
"54100 Program leaders and instructors in recreation, sport and fitness","1,795",745,"1,050"
55 Support occupations in art and culture,65,25,45
551 Support occupations in art and culture,65,25,45
5510 Support occupations in art and culture,65,25,45
55109 Other performers,65,25,45
6 Sales and service occupations,"114,365","48,225","66,140"
60 Middle management occupations in retail and wholesale trade and customer services,"14,600","8,050","6,550"
600 Middle management occupations in retail and wholesale trade and customer services,"14,600","8,050","6,550"
6001 Corporate sales managers,"1,185",855,325
60010 Corporate sales managers,"1,185",855,325
6002 Retail and wholesale trade managers,"8,615","4,860","3,760"
60020 Retail and wholesale trade managers,"8,615","4,860","3,760"
6003 Managers in food service and accommodation,"4,270","2,080","2,190"
60030 Restaurant and food service managers,"3,485","1,740","1,750"
60031 Accommodation service managers,780,345,435
6004 Managers in customer and personal services,530,255,275
60040 Managers in customer and personal services,530,255,275
62 Retail sales and service supervisors and specialized occupations in sales and services,"6,765","3,290","3,480"
620 Retail sales and service supervisors,"4,295","1,655","2,635"
6201 Retail sales supervisors,"1,425",490,930
62010 Retail sales supervisors,"1,425",490,930
6202 Service supervisors,"2,870","1,165","1,705"
62020 Food service supervisors,"1,735",635,"1,100"
62021 Executive housekeepers,50,10,40
"62022 Accommodation, travel, tourism and related services supervisors",145,85,65
