Occupation - Unit group - National Occupational Classification (NOC) 2021 (821A) 9,Total - Gender,Men+ 10,Women+ 11
"50011 Managers - publishing, motion pictures, broadcasting and performing arts",205,100,105
"50012 Recreation, sports and fitness program and service directors",475,220,255
51 Professional occupations in art and culture,"4,070","1,830","2,240"
511 Professional occupations in art and culture,"4,070","1,830","2,240"
"5110 Librarians, archivists, conservators and curators",400,60,340
51100 Librarians,270,20,245
51101 Conservators and curators,75,25,45
51102 Archivists,65,20,45
"5111 Writing, translating and related communications professionals","1,920",735,"1,180"
51110 Editors,370,125,240
51111 Authors and writers (except technical),785,290,495
51112 Technical writers,205,80,125
51113 Journalists,345,175,175
"51114 Translators, terminologists and interpreters",210,65,145
5112 Creative and performing artists,"1,750","1,030",720
"51120 Producers, directors, choreographers and related occupations",650,470,180
"51121 Conductors, composers and arrangers",95,60,35
51122 Musicians and singers,"1,005",500,505
"52 Technical occupations in art, culture and sport","3,865","1,945","1,930"
521 Technical occupations in art and culture,"3,865","1,945","1,930"
5210 Technical occupations in libraries and public archives,370,40,330
52100 Library and public archive technicians,370,40,330
"5211 Technical occupations in motion pictures, broadcasting and the performing arts","1,345",935,415
52110 Film and video camera operators,140,120,20
52111 Graphic arts technicians,130,90,40
52112 Broadcast technicians,45,45,0
52113 Audio and video recording technicians,355,330,30
52114 Announcers and other broadcasters,155,110,45
"52119 Other technical and coordinating occupations in motion pictures, broadcasting and the performing arts",520,240,285
5212 Graphic and interior designers,"2,155",970,"1,180"
52120 Graphic designers and illustrators,"1,715",910,805
52121 Interior designers and interior decorators,440,60,380
"53 Occupations in art, culture and sport","4,085","1,730","2,355"
531 Occupations in art and culture,"3,450","1,320","2,125"
5310 Occupations related to museums and art galleries,455,200,250
"53100 Registrars, restorers, interpreters and other occupations related to museum and art galleries",455,200,250
5311 Photographers and support occupations in arts and culture,715,395,320
53110 Photographers,480,225,260
"53111 Motion pictures, broadcasting, photography and performing arts assistants and operators",230,170,60
5312 Occupations in creative and performing art,"2,285",725,"1,555"
53120 Dancers,285,40,250
"53121 Actors, comedians and circus performers",305,145,160
"53122 Painters, sculptors and other visual artists",665,240,425
"53123 Theatre, fashion, exhibit and other creative designers",225,30,195
53124 Artisans and craftspersons,765,275,495
"53125 Patternmakers - textile, leather and fur products",35,0,35
532 Occupations in sports,635,405,225
"5320 Athletes, coaches, referees and related occupations",635,405,225
53200 Athletes,70,55,10
53201 Coaches,385,205,185
53202 Sports officials and referees,180,145,35
54 Support occupations in sport,"2,995","1,080","1,915"
541 Support occupations in sport,"2,995","1,080","1,915"
"5410 Program leaders and instructors in recreation, sport and fitness","2,995","1,080","1,915"
"54100 Program leaders and instructors in recreation, sport and fitness","2,995","1,080","1,915"
55 Support occupations in art and culture,75,50,25
551 Support occupations in art and culture,75,50,25
5510 Support occupations in art and culture,75,50,25
55109 Other performers,75,50,25
6 Sales and service occupations,"141,360","60,170","81,190"
60 Middle management occupations in retail and wholesale trade and customer services,"19,100","10,190","8,910"
600 Middle management occupations in retail and wholesale trade and customer services,"19,100","10,190","8,910"
6001 Corporate sales managers,"1,615","1,075",540
60010 Corporate sales managers,"1,615","1,075",540
6002 Retail and wholesale trade managers,"11,810","6,560","5,250"
60020 Retail and wholesale trade managers,"11,810","6,560","5,250"
6003 Managers in food service and accommodation,"5,010","2,295","2,715"
60030 Restaurant and food service managers,"3,935","1,850","2,090"
60031 Accommodation service managers,"1,075",450,625
6004 Managers in customer and personal services,665,260,405
60040 Managers in customer and personal services,665,260,405
62 Retail sales and service supervisors and specialized occupations in sales and services,"10,495","5,350","5,145"
620 Retail sales and service supervisors,"6,085","2,315","3,770"
6201 Retail sales supervisors,"2,115",675,"1,445"
62010 Retail sales supervisors,"2,115",675,"1,445"
6202 Service supervisors,"3,970","1,645","2,325"
62020 Food service supervisors,"2,595","1,065","1,530"
62021 Executive housekeepers,50,0,50
"62022 Accommodation, travel, tourism and related services supervisors",165,65,105
62023 Customer and information services supervisors,485,150,335
62024 Cleaning supervisors,390,180,210
62029 Other services supervisors,280,185,100
621 Specialized sales occupations,"2,380","1,570",810
6210 Technical sales specialists in wholesale trade and retail and wholesale buyers,"2,380","1,570",810
62100 Technical sales specialists - wholesale trade,"1,370","1,020",345
62101 Retail and wholesale buyers,"1,010",550,465
622 Specialized services occupations,"2,030","1,465",565
6220 Specialized occupations in services,"2,030","1,465",565
62200 Chefs,"1,750","1,310",430
62201 Funeral directors and embalmers,225,140,85
"62202 Jewellers, jewellery and watch repairers and related occupations",55,10,50
63 Occupations in sales and services,"17,945","7,075","10,870"
631 Occupations in sales,"5,235","2,095","3,145"
"6310 Insurance, real estate and financial sales occupations","5,235","2,095","3,145"
63100 Insurance agents and brokers,"2,275",940,"1,335"
63101 Real estate agents and salespersons,"1,555",715,835
63102 Financial sales representatives,"1,410",440,975
