Occupation - Unit group - National Occupational Classification (NOC) 2021 (821A) 9,Total - Gender,Men+ 10,Women+ 11
"500 Specialized middle management occupations in art, culture, recreation and sport",825,345,485
"5001 Managers in art, culture, recreation and sport",825,345,485
"50010 Library, archive, museum and art gallery managers",180,30,155
"50011 Managers - publishing, motion pictures, broadcasting and performing arts",140,65,70
"50012 Recreation, sports and fitness program and service directors",505,250,265
51 Professional occupations in art and culture,"3,015","1,210","1,800"
511 Professional occupations in art and culture,"3,015","1,210","1,800"
"5110 Librarians, archivists, conservators and curators",515,75,440
51100 Librarians,435,45,390
51101 Conservators and curators,45,20,25
51102 Archivists,35,15,25
"5111 Writing, translating and related communications professionals","1,275",510,765
51110 Editors,215,100,115
51111 Authors and writers (except technical),480,170,305
51112 Technical writers,100,45,50
51113 Journalists,305,160,145
"51114 Translators, terminologists and interpreters",175,35,145
5112 Creative and performing artists,"1,230",625,595
"51120 Producers, directors, choreographers and related occupations",405,295,105
"51121 Conductors, composers and arrangers",45,20,30
51122 Musicians and singers,775,310,460
"52 Technical occupations in art, culture and sport","3,195","1,250","1,945"
521 Technical occupations in art and culture,"3,195","1,250","1,945"
5210 Technical occupations in libraries and public archives,610,35,570
52100 Library and public archive technicians,610,35,570
"5211 Technical occupations in motion pictures, broadcasting and the performing arts","1,000",640,370
52110 Film and video camera operators,115,95,20
52111 Graphic arts technicians,70,55,20
52112 Broadcast technicians,45,45,0
52113 Audio and video recording technicians,205,160,40
52114 Announcers and other broadcasters,245,170,75
"52119 Other technical and coordinating occupations in motion pictures, broadcasting and the performing arts",325,110,215
5212 Graphic and interior designers,"1,580",580,"1,000"
52120 Graphic designers and illustrators,"1,130",520,615
52121 Interior designers and interior decorators,450,60,390
"53 Occupations in art, culture and sport","3,245","1,170","2,075"
531 Occupations in art and culture,"2,650",755,"1,895"
5310 Occupations related to museums and art galleries,295,110,185
"53100 Registrars, restorers, interpreters and other occupations related to museum and art galleries",295,110,185
5311 Photographers and support occupations in arts and culture,625,210,410
53110 Photographers,535,155,380
"53111 Motion pictures, broadcasting, photography and performing arts assistants and operators",90,55,35
5312 Occupations in creative and performing art,"1,735",435,"1,300"
53120 Dancers,400,30,370
"53121 Actors, comedians and circus performers",215,85,130
"53122 Painters, sculptors and other visual artists",460,110,345
"53123 Theatre, fashion, exhibit and other creative designers",135,50,85
53124 Artisans and craftspersons,530,160,365
"53125 Patternmakers - textile, leather and fur products",0,0,0
532 Occupations in sports,600,415,185
"5320 Athletes, coaches, referees and related occupations",600,415,185
53200 Athletes,125,105,20
53201 Coaches,290,160,125
53202 Sports officials and referees,185,150,35
54 Support occupations in sport,"2,735",925,"1,810"
541 Support occupations in sport,"2,735",925,"1,810"
"5410 Program leaders and instructors in recreation, sport and fitness","2,735",925,"1,810"
"54100 Program leaders and instructors in recreation, sport and fitness","2,735",925,"1,810"
55 Support occupations in art and culture,55,35,30
551 Support occupations in art and culture,55,35,30
5510 Support occupations in art and culture,55,35,30
55109 Other performers,55,35,30
6 Sales and service occupations,"149,310","63,475","85,835"
60 Middle management occupations in retail and wholesale trade and customer services,"20,815","11,880","8,940"
600 Middle management occupations in retail and wholesale trade and customer services,"20,815","11,880","8,940"
6001 Corporate sales managers,"1,490","1,040",450
60010 Corporate sales managers,"1,490","1,040",450
6002 Retail and wholesale trade managers,"13,010","7,740","5,270"
