Occupation - Unit group - National Occupational Classification (NOC) 2021 (821A) 9,Total - Gender,Men+ 10,Women+ 11
"451 Student monitors, crossing guards and related occupations",10,0,0
"4510 Student monitors, crossing guards and related occupations",10,0,0
"45100 Student monitors, crossing guards and related occupations",10,0,0
"5 Occupations in art, culture, recreation and sport",530,235,295
"50 Specialized middle management occupations in art, culture, recreation and sport",35,25,10
"500 Specialized middle management occupations in art, culture, recreation and sport",35,25,10
"5001 Managers in art, culture, recreation and sport",35,25,10
"50010 Library, archive, museum and art gallery managers",0,0,0
"50011 Managers - publishing, motion pictures, broadcasting and performing arts",15,10,10
"50012 Recreation, sports and fitness program and service directors",15,10,0
51 Professional occupations in art and culture,225,55,165
511 Professional occupations in art and culture,225,55,165
"5110 Librarians, archivists, conservators and curators",15,0,10
51100 Librarians,10,0,10
51101 Conservators and curators,0,0,0
51102 Archivists,0,0,0
"5111 Writing, translating and related communications professionals",185,40,145
51110 Editors,10,0,0
51111 Authors and writers (except technical),10,0,0
51112 Technical writers,0,0,0
51113 Journalists,15,0,10
"51114 Translators, terminologists and interpreters",155,30,125
5112 Creative and performing artists,25,10,10
"51120 Producers, directors, choreographers and related occupations",15,10,10
"51121 Conductors, composers and arrangers",0,0,0
51122 Musicians and singers,0,0,0
"52 Technical occupations in art, culture and sport",105,50,55
521 Technical occupations in art and culture,105,50,55
5210 Technical occupations in libraries and public archives,0,0,0
52100 Library and public archive technicians,0,0,0
"5211 Technical occupations in motion pictures, broadcasting and the performing arts",85,40,45
52110 Film and video camera operators,10,0,0
52111 Graphic arts technicians,0,0,0
52112 Broadcast technicians,0,0,0
52113 Audio and video recording technicians,10,10,0
52114 Announcers and other broadcasters,55,15,35
"52119 Other technical and coordinating occupations in motion pictures, broadcasting and the performing arts",10,0,0
5212 Graphic and interior designers,15,10,10
52120 Graphic designers and illustrators,15,10,10
52121 Interior designers and interior decorators,0,0,0
"53 Occupations in art, culture and sport",105,80,25
531 Occupations in art and culture,100,80,25
5310 Occupations related to museums and art galleries,10,10,0
"53100 Registrars, restorers, interpreters and other occupations related to museum and art galleries",10,10,0
5311 Photographers and support occupations in arts and culture,10,0,10
53110 Photographers,10,0,10
"53111 Motion pictures, broadcasting, photography and performing arts assistants and operators",0,0,0
5312 Occupations in creative and performing art,85,70,15
53120 Dancers,0,0,0
"53121 Actors, comedians and circus performers",0,0,0
"53122 Painters, sculptors and other visual artists",0,0,0
"53123 Theatre, fashion, exhibit and other creative designers",0,0,0
53124 Artisans and craftspersons,70,65,10
"53125 Patternmakers - textile, leather and fur products",0,0,0
532 Occupations in sports,0,0,0
"5320 Athletes, coaches, referees and related occupations",0,0,0
53200 Athletes,0,0,0
53201 Coaches,0,0,0
53202 Sports officials and referees,0,0,0
54 Support occupations in sport,65,30,40
541 Support occupations in sport,65,30,40
"5410 Program leaders and instructors in recreation, sport and fitness",65,30,40
"54100 Program leaders and instructors in recreation, sport and fitness",65,30,40
55 Support occupations in art and culture,0,0,0
551 Support occupations in art and culture,0,0,0
5510 Support occupations in art and culture,0,0,0
55109 Other performers,0,0,0
6 Sales and service occupations,"3,825","1,710","2,120"
60 Middle management occupations in retail and wholesale trade and customer services,330,220,105
600 Middle management occupations in retail and wholesale trade and customer services,330,220,105
6001 Corporate sales managers,10,10,0
60010 Corporate sales managers,10,10,0
6002 Retail and wholesale trade managers,240,165,75
60020 Retail and wholesale trade managers,240,165,75
6003 Managers in food service and accommodation,75,50,25
60030 Restaurant and food service managers,25,15,0
60031 Accommodation service managers,50,35,20
6004 Managers in customer and personal services,10,10,0
60040 Managers in customer and personal services,10,10,0
62 Retail sales and service supervisors and specialized occupations in sales and services,135,75,60
620 Retail sales and service supervisors,105,55,50
6201 Retail sales supervisors,70,35,35
62010 Retail sales supervisors,70,35,35
6202 Service supervisors,35,25,15
62020 Food service supervisors,10,10,10
62021 Executive housekeepers,0,0,0
"62022 Accommodation, travel, tourism and related services supervisors",0,0,0
62023 Customer and information services supervisors,0,0,0
62024 Cleaning supervisors,10,0,10
62029 Other services supervisors,20,10,0
621 Specialized sales occupations,10,0,10
6210 Technical sales specialists in wholesale trade and retail and wholesale buyers,10,0,10
62100 Technical sales specialists - wholesale trade,0,0,0
62101 Retail and wholesale buyers,10,0,10
622 Specialized services occupations,30,25,10
6220 Specialized occupations in services,30,25,10
62200 Chefs,25,25,0
62201 Funeral directors and embalmers,0,0,0
"62202 Jewellers, jewellery and watch repairers and related occupations",10,0,10
63 Occupations in sales and services,215,60,155
631 Occupations in sales,10,10,10
"6310 Insurance, real estate and financial sales occupations",10,10,10
63100 Insurance agents and brokers,0,0,0
63101 Real estate agents and salespersons,10,0,0
63102 Financial sales representatives,0,0,10
632 Occupations in services,205,55,145
"6320 Cooks, butchers and bakers",195,55,135
63200 Cooks,185,50,130
63201 Butchers - retail and wholesale,0,0,0
63202 Bakers,10,0,10
6321 Hairstylists and estheticians,10,0,10
63210 Hairstylists and barbers,0,0,0
"63211 Estheticians, electrologists and related occupations",0,0,0
"6322 Shoe repairers, shoemakers and upholsterers",0,0,0
63220 Shoe repairers and shoemakers,0,0,0
63221 Upholsterers,0,0,0
64 Sales and service representatives and other customer and personal services occupations,655,370,285
641 Retail salespersons and non-technical wholesale trade sales and account representatives,150,80,70
