Occupation - Unit group - National Occupational Classification (NOC) 2021 (821A) 9,Total - Gender,Men+ 10,Women+ 11
"451 Student monitors, crossing guards and related occupations","2,420",135,"2,285"
"4510 Student monitors, crossing guards and related occupations","2,420",135,"2,285"
"45100 Student monitors, crossing guards and related occupations","2,420",135,"2,285"
"5 Occupations in art, culture, recreation and sport","59,950","24,240","35,710"
"50 Specialized middle management occupations in art, culture, recreation and sport","3,195","1,555","1,640"
"500 Specialized middle management occupations in art, culture, recreation and sport","3,195","1,555","1,640"
"5001 Managers in art, culture, recreation and sport","3,195","1,555","1,640"
"50010 Library, archive, museum and art gallery managers",630,135,495
"50011 Managers - publishing, motion pictures, broadcasting and performing arts",695,380,315
"50012 Recreation, sports and fitness program and service directors","1,870","1,035",835
51 Professional occupations in art and culture,"12,700","5,075","7,625"
511 Professional occupations in art and culture,"12,700","5,075","7,625"
"5110 Librarians, archivists, conservators and curators","1,280",245,"1,035"
51100 Librarians,970,150,820
51101 Conservators and curators,205,65,140
51102 Archivists,100,30,75
"5111 Writing, translating and related communications professionals","5,510","1,955","3,555"
51110 Editors,990,260,730
51111 Authors and writers (except technical),"2,060",830,"1,235"
51112 Technical writers,895,280,620
51113 Journalists,790,360,430
"51114 Translators, terminologists and interpreters",780,225,555
5112 Creative and performing artists,"5,910","2,880","3,030"
"51120 Producers, directors, choreographers and related occupations","1,825","1,215",605
"51121 Conductors, composers and arrangers",240,150,90
51122 Musicians and singers,"3,845","1,510","2,335"
"52 Technical occupations in art, culture and sport","15,700","6,355","9,345"
521 Technical occupations in art and culture,"15,700","6,355","9,345"
5210 Technical occupations in libraries and public archives,"1,325",125,"1,200"
52100 Library and public archive technicians,"1,325",125,"1,200"
"5211 Technical occupations in motion pictures, broadcasting and the performing arts","4,770","3,010","1,755"
52110 Film and video camera operators,530,470,60
52111 Graphic arts technicians,345,235,110
52112 Broadcast technicians,235,195,45
52113 Audio and video recording technicians,"1,235","1,030",205
52114 Announcers and other broadcasters,565,385,175
